[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/proxies/FindResults.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/proxies/Mat.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/proxies/OCR.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/proxies/OCRChar.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/proxies/OCRChars.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/proxies/OCRLine.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/proxies/OCRLines.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/proxies/OCRParagraph.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/proxies/OCRParagraphs.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/proxies/OCRRect.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/proxies/OCRText.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/proxies/OCRWord.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/proxies/OCRWords.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/proxies/OpenCV.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/proxies/SWIGTYPE_p_cv__Rect.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/proxies/TARGET_TYPE.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/proxies/Vision.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/proxies/VisionProxy.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/proxies/VisionProxyJNI.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/ResourceLoader$1.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/ResourceLoader.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/RunSetup$1.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/RunSetup$2.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/RunSetup$3.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/RunSetup.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/Settings.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/SetUpSelect$1.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/SetUpSelect$10.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/SetUpSelect$2.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/SetUpSelect$3.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/SetUpSelect$4.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/SetUpSelect$5.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/SetUpSelect$6.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/SetUpSelect$7.class
